index,Date,Country,Temperature
11579,2017-04,CYP,18.0
11580,2017-05,CYP,21.0
11581,2017-06,CYP,25.0
11582,2017-07,CYP,28.0
11583,2017-08,CYP,28.0
11584,2017-09,CYP,26.0
11585,2017-10,CYP,22.0
11586,2017-11,CYP,18.0
11587,2017-12,CYP,15.0
11588,2018-01,CYP,14.0
11589,2018-02,CYP,15.0
11590,2018-03,CYP,16.0
11591,2018-04,CYP,19.0
11592,2018-05,CYP,24.0
11593,2018-06,CYP,25.0
11594,2018-07,CYP,28.0
11595,2018-08,CYP,28.0
11596,2018-09,CYP,26.0
11597,2018-10,CYP,23.0
11598,2018-11,CYP,19.0
11599,2018-12,CYP,15.0
11600,2019-01,CYP,13.0
11601,2019-02,CYP,14.0
11602,2019-03,CYP,15.0
11603,2019-04,CYP,17.0
11604,2019-05,CYP,22.0
11605,2019-06,CYP,26.0
11606,2019-07,CYP,27.0
11607,2019-08,CYP,28.0
11608,2019-09,CYP,26.0
11609,2019-10,CYP,24.0
11610,2019-11,CYP,20.0
11611,2019-12,CYP,15.0
11612,2020-01,CYP,13.0
11613,2020-02,CYP,13.0
11614,2020-03,CYP,15.0
11615,2020-04,CYP,17.0
11616,2020-05,CYP,23.0
11617,2020-06,CYP,24.0
11618,2020-07,CYP,27.0
11619,2020-08,CYP,28.0
11620,2020-09,CYP,28.0
11621,2020-10,CYP,24.0
11622,2020-11,CYP,19.0
11623,2020-12,CYP,17.0
11624,2021-01,CYP,15.0
11625,2021-02,CYP,14.0
11626,2021-03,CYP,15.0
11627,2021-04,CYP,18.0
11628,2021-05,CYP,23.0
11629,2021-06,CYP,24.0
11630,2021-07,CYP,29.0
11631,2021-08,CYP,29.0
11632,2021-09,CYP,26.0
11633,2021-10,CYP,23.0
11634,2021-11,CYP,21.0
11635,2021-12,CYP,15.0
